index,Fund,Acct-Type,Acct-Div,Acct-Dept,Summ-Acct,GL-Account,2019-Actual,2020-Actual,2021-Budget,2022-Recommend,2023-Forecast
0,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,41000: Total TAX REVENUES,PROPERTY TAX REVENUE,-275045271,-280548133,-274542432,-281901992,-287440350
1,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,41000: Total TAX REVENUES,TANGIBLE TAX REVENUE,-51020530,-53083749,-56635839,-58519773,-59679372
2,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,41000: Total TAX REVENUES,EXCISE TAX REVENUE,-22865816,-14961121,-13238754,-11407989,-8407989
3,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,42000: Total GRANTS,PAYMENT IN LIEU OF TAXES,-33187319,-14199131,-34077915,-34027865,-34027865
4,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,42000: Total GRANTS,SCHOOL DEBT CONSTRUCTION PAYMENTS,-23511102,-25608576,-21703485,-23260714,-21308536
5,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,42000: Total GRANTS,TELEPHONE TAX,-2262538,-2234814,-2262538,-2234814,-2234814
6,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,42000: Total GRANTS,ADDITIONAL STATE OF RI AID,0,0,0,-750000,-1000000
7,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,42000: Total GRANTS,STATE REIMBURSEMENT EXCISE TAX,-11661930,-20503369,-8543070,-24588929,-27588929
8,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,42000: Total GRANTS,DISTRESSED CITY REVENUE,-5606831,-5155694,-1120549,-5265375,-5265375
9,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,42000: Total GRANTS,MEALS & BEVERAGES TAX,-5586483,-5252178,-4972708,-5282907,-6650532
10,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,42100: Total FEDERAL GRANTS,CORONAVIRUS RELIEF FUNDS,0,0,-26494542,0,0
11,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,42200: Total STATE GRANTS,STATE GRANT,0,-155408,0,0,0
12,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,43000: Total DEPARTMENTAL REVENUE,D P REIMBURSE SCHOOL DEPARTMENT,0,0,-1009927,-1009927,-1009927
13,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,43000: Total DEPARTMENTAL REVENUE,APPROVED REIMBURSEMENT WAIVER,0,0,1009927,1009927,1009927
14,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,44000: Total FINES & FORFEITURES,FINES & FORFEITS / MOVING VIOLATIONS,-7397,-11886,0,0,0
15,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,44000: Total FINES & FORFEITURES,FINES & FORFEITS/BOOTS,-178207,-38628,0,0,0
16,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,44000: Total FINES & FORFEITURES,FINES $ FORFEITS/REG PARKING,-3911930,-2708591,0,0,0
17,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,44000: Total FINES & FORFEITURES,FINES & FORFEITS / ENVIROMENTAL,-294254,-199995,0,0,0
18,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,44000: Total FINES & FORFEITURES,FINES & FORFEITS INSTATE DELQ,-14220,-15365,-3180576,-3180576,-5000000
19,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,45000: Total INVESTMENT INCOME,UNREALIZED INVESTMENT APPRECIATION,0,-2,0,0,0
20,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,45100: Total INTEREST INCOME,INTEREST,-295606,-215768,-400000,-400000,-400000
21,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,45100: Total INTEREST INCOME,INTEREST OVERDUE CITY TAXES,-4453848,-4157342,-4300000,-4300000,-4300000
